"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"5.367","249628.1638084","0.181203","268491.57164316","23.63","1456000","1456000","1476290"
"8.033","523799.68755394","0.287309","424560.23985755","23.63","1456000","1456000","1476290"
"11.33","765480.82466179","0.361359","535564.20923516","23.63","1456000","1456000","1476290"
"13.833","875862.01925188","0.486481","724799.35262169","23.63","1456000","1456000","1476290"
"16.4","992375.50243031","0.62029","932866.58504191","23.63","1456000","1456000","1476290"
"18.167","1038564.5194587","0.645058","969034.14868373","23.63","1456000","1456000","1476290"
"21.367","1055178.5827498","0.719959","1085156.4","23.63","1456000","1456000","1476290"
"22.2","1064801.5971362","0.719959","1085156.4","23.63","1456000","1456000","1476290"
"22.9","1250550.9259259","0.808654","1209390","23.63","1456000","1456000","1476290"
"23.63","1456000","1","1476290","23.63","1456000","1456000","1476290"
