AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
2.1,250890.7767,0.1136,130420.9558,18.7333,1236603.664,1236603.664,1146444.381
3.1333,322097.4664,0.1587,186179.9434,18.7333,1236603.664,1236603.664,1146444.381
4.1667,454729.266,0.2494,272953.782,18.7333,1236603.664,1236603.664,1146444.381
5.1667,645300.547,0.3222,350791.9828,18.7333,1236603.664,1236603.664,1146444.381
6.2,799211.9464,0.465,513542.8041,18.7333,1236603.664,1236603.664,1146444.381
7.2,838046.8272,0.5705,653353.4836,18.7333,1236603.664,1236603.664,1146444.381
8.2333,850777.7877,0.6231,718419.883,18.7333,1236603.664,1236603.664,1146444.381
9.2667,873387.5079,0.6574,752401.8437,18.7333,1236603.664,1236603.664,1146444.381
10.2,924342.5087,0.7561,864755.1646,18.7333,1236603.664,1236603.664,1146444.381
11.2333,951485.5493,0.766,876932.605,18.7333,1236603.664,1236603.664,1146444.381
12.2333,985265.99,0.7929,907365.063,18.7333,1236603.664,1236603.664,1146444.381
13.2667,1000454.43,0.8238,941494.2659,18.7333,1236603.664,1236603.664,1146444.381
14.2667,1020355.871,0.8425,962569.9561,18.7333,1236603.664,1236603.664,1146444.381
15.3,1037275.175,0.8555,977265.7134,18.7333,1236603.664,1236603.664,1146444.381
16.3333,1088345.724,0.8983,1029389.091,18.7333,1236603.664,1236603.664,1146444.381
17.3333,1140911.303,0.9566,1101470.093,18.7333,1236603.664,1236603.664,1146444.381
18.7333,1236603.664,1,1146444.381,18.7333,1236603.664,1236603.664,1146444.381
