AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.9,5262.4,0.029112726,5262.4,20.73333333,180759.44,180759.44,191065.06
1.766666667,9434.4,0.052193125,10155.84,20.73333333,180759.44,180759.44,191065.06
2.7,10935.84,0.060499413,11657.28,20.73333333,180759.44,180759.44,191065.06
3.633333333,16871.52,0.093336868,17592.96,20.73333333,180759.44,180759.44,191065.06
4.566666667,38350.84,0.097490012,18593.92,20.73333333,180759.44,180759.44,191065.06
5.5,43183.48,0.124225213,23426.56,20.73333333,180759.44,180759.44,191065.06
6.433333333,43433.72,0.125609595,23927.04,20.73333333,180759.44,180759.44,191065.06
7.3,44684.92,0.132531502,25178.24,20.73333333,180759.44,180759.44,191065.06
8.16666667,46548.84,0.154515858,29152.12,20.73333333,180759.44,180759.44,191065.06
9.1,102422.84,0.157284621,29652.6,20.73333333,180759.44,180759.44,191065.06
13.96666667,127255.16,0.655659256,124272.28,20.73333333,180759.44,180759.44,191065.06
14.9,170569.08,0.674104103,128867.16,20.73333333,180759.44,180759.44,191065.06
15.83333333,170569.08,0.683452343,131385.56,20.73333333,180759.44,180759.44,191065.06
16.76666667,170569.08,0.934746644,176988.12,20.73333333,180759.44,180759.44,191065.06
17.7,170569.08,0.943624742,178592.92,20.73333333,180759.44,180759.44,191065.06
20.5,180759.44,0.952931034,181673.06,20.73333333,180759.44,180759.44,191065.06
20.73333333,180759.44,1,191065.06,20.73333333,180759.44,180759.44,191065.06
