"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC","EV","Day1","Day2"
"0.14583333333333","2490","0.010331307150464","2490","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","2490","41337.333333333","41341.708333333"
"0.37916666666667","3700","0.015351741548882","3700","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","3700","41341.708333333","41348.708333333"
"0.6125","12566.666769981","0.030870223568456","8020.0000232458","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","7440.1869546587","41348.708333333","41355.708333333"
"0.84583333333333","20780.000154972","0.066427012794814","22796.666793227","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","16009.906534592","41355.708333333","41362.708333333"
"1.0791666666667","39580.000154972","0.080076453551209","28663.333563209","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","19299.626507915","41362.708333333","41369.708333333"
"1.3125","59380.000154972","0.13552757738017","44343.3336097","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","32664.179155827","41369.708333333","41376.708333333"
"1.5458333333333","70434.000166058","0.17991696220476","57143.3336097","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","43362.686769962","41376.708333333","41383.708333333"
"1.7791666666667","75430.000241399","0.25700616211205","81347.333642244","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","61942.340338826","41383.708333333","41390.708333333"
"2.0125","78630.000336766","0.28864540691504","94147.333642244","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","69567.872946858","41390.708333333","41397.708333333"
"2.2458333333333","102770.0003463","0.30845383072937","101907.33369231","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","74342.00022614","41397.708333333","41404.708333333"
"2.4791666666667","112570.0003463","0.31755818481562","105107.33378768","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","76536.286132523","41404.708333333","41411.708333333"
"2.7125","126860.00035107","0.32666253783351","108307.33388305","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","78730.571781414","41411.708333333","41418.708333333"
"2.9458333333333","138652.57186949","0.41208512192483","132447.33389258","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","99318.695945144","41418.708333333","41425.708333333"
"3.1791666666667","145880.00055134","0.43683551994432","142247.33389258","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","105283.91314089","41425.708333333","41432.708333333"
"3.4125","150088.00060987","0.46158592305338","152047.33389258","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","111249.13156331","41432.708333333","41439.708333333"
"3.6458333333333","152680.0006485","0.48633631598329","161847.33389258","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","117214.34753239","41439.708333333","41446.708333333"
"3.8791666666667","152680.0006485","0.54411923084944","179961.90537929","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","131140.89679874","41446.708333333","41453.708333333"
"4.1125","152680.0006485","0.57615198183837","192499.04839635","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","138861.27030045","41453.708333333","41460.708333333"
"4.3458333333333","154540.00065446","0.60204504669439","200847.04851151","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","145101.88734459","41460.708333333","41467.708333333"
"4.5791666666667","156940.00065446","0.62260137906664","207175.04859924","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","150056.27180548","41467.708333333","41474.708333333"
"4.8125","159340.00065446","0.6327280431295","211175.04864693","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","152496.94975158","41474.708333333","41481.708333333"
"5.0458333333333","162997.00065446","0.63348754314566","211475.0486505","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","152680.0006485","41481.708333333","41488.708333333"
"5.2791666666667","165037.00065446","0.63348754314566","211475.0486505","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","152680.0006485","41488.708333333","41495.708333333"
"5.5125","167917.00068307","0.63348754314566","211475.0486505","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","152680.0006485","41495.708333333","41502.708333333"
"5.7458333333333","172717.00068307","0.63348754314566","211475.0486505","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","152680.0006485","41502.708333333","41509.708333333"
"5.9791666666667","191277.00068307","0.64251626040144","214061.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","154856.05694413","41509.708333333","41516.708333333"
"6.2125","221408.42925859","0.65093137507567","216461.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","156884.22581315","41516.708333333","41523.708333333"
"6.4458333333333","240915.00069022","0.65934649153051","218861.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","158912.39511132","41523.708333333","41530.708333333"
"6.6791666666667","241015.00069022","0.67173635947341","222518.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","161898.53914213","41530.708333333","41537.708333333"
"6.9125","241015.00069022","0.67684296780704","224918.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","163129.30835319","41537.708333333","41544.708333333"
"7.1458333333333","241015.00069022","0.68194957636324","227318.71532512","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","164360.07761788","41544.708333333","41551.708333333"
"7.3791666666667","241015.00069022","0.6861558089482","229278.71533465","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","165373.84276725","41551.708333333","41558.708333333"
"7.6125","241015.00069022","0.69174620132503","231838.7153728","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","166721.21118981","41558.708333333","41565.708333333"
"7.8458333333333","241015.00069022","0.70218093005051","236246.71537948","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","169236.13734078","41565.708333333","41572.708333333"
"8.0791666666667","241015.00069022","0.71364324575262","241046.71537948","9.4791666666667","241015.00069022","241015.00069022","314856.14396215","171998.72736764","41572.708333333","41579.708333333"
