"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"0.6","11107.692307692","0.049695","6050","8.367","114700","114700","128200"
"1.067","27717.582417582","0.442023","56050","8.367","114700","114700","128200"
"2.367","72771.428571429","0.773322","98050","8.367","114700","114700","128200"
"3.467","102033.33333333","0.823017","104150","8.367","114700","114700","128200"
"4.733","112557.14285714","0.908457","115300","8.367","114700","114700","128200"
"5.367","114700","0.908457","115300","8.367","114700","114700","128200"
"6.567","114700","0.917175","116420","8.367","114700","114700","128200"
"7.533","114700","0.973845","122800","8.367","114700","114700","128200"
"8.367","114700","1","128200","8.367","114700","114700","128200"
