AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.480555556,4436.319855,0.163678165,5219.199829,3.780555556,22703.51926,22703.51926,25313.11917
0.947222222,8350.719727,0.264793534,9655.519684,3.780555556,22703.51926,22703.51926,25313.11917
1.413888889,9916.479675,0.324393359,12265.1196,3.780555556,22703.51926,22703.51926,25313.11917
2.113888889,18789.11938,0.827586207,21920.63928,3.780555556,22703.51926,22703.51926,25313.11917
3.547222222,22703.51926,0.909457552,23779.97922,3.780555556,22703.51926,22703.51926,25313.11917
3.780555556,22703.51926,1,25313.11917,3.780555556,22703.51926,22703.51926,25313.11917
