"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC","EV","Day1","Day2"
"0.2125","39004.669921875","0.080445596327162","39004.669921875","10.879166666667","484398.41252112","484398.41252112","494947.71251595","38967.719155192","40760.333333333","40766.708333333"
"0.47916666666667","42724.669921875","0.088048943361576","42724.669921875","10.879166666667","484398.41252112","484398.41252112","494947.71251595","42650.76838851","40766.708333333","40774.708333333"
"0.7125","46444.669921875","0.095652289717007","46444.669921875","10.879166666667","484398.41252112","484398.41252112","494947.71251595","46333.817292929","40774.708333333","40781.708333333"
"0.94583333333333","50164.669921875","0.10059730385571","49234.669921875","10.879166666667","484398.41252112","484398.41252112","494947.71251595","48729.174291611","40781.708333333","40788.708333333"
"1.1791666666667","58071.770019531","0.10465620703172","51714.669921875","10.879166666667","484398.41252112","484398.41252112","494947.71251595","50695.300546646","40788.708333333","40795.708333333"
"1.4125","148902.72314453","0.11902035293523","59094.770019531","10.879166666667","484398.41252112","484398.41252112","494947.71251595","57653.270019531","40795.708333333","40802.708333333"
"1.6458333333333","152002.72314453","0.30470606345748","149491.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","147599.13342436","40802.708333333","40809.708333333"
"1.8791666666667","155102.72314453","0.30930071324413","152591.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","149824.77448711","40809.708333333","40816.708333333"
"2.1125","158202.72314453","0.3138953631476","155691.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","152050.41560644","40816.708333333","40823.708333333"
"2.3458333333333","161302.72314453","0.31849001258379","158791.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","154276.05649942","40823.708333333","40830.708333333"
"2.5791666666667","164402.72314453","0.32308466295454","161891.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","156501.6978451","40830.708333333","40837.708333333"
"2.8125","167502.72314453","0.32767931239073","164991.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","158727.33873808","40837.708333333","40844.708333333"
"3.3791666666667","170602.72314453","0.33227396182692","168091.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","160952.97963107","40844.708333333","40861.708333333"
"3.6125","173702.72314453","0.33686861313223","171191.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","163178.62142944","40861.708333333","40868.708333333"
"3.8458333333333","176802.72314453","0.34146326256842","174291.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","165404.26232243","40868.708333333","40875.708333333"
"4.0791666666667","197908.22314453","0.34605791200461","177391.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","167629.90321541","40875.708333333","40882.708333333"
"4.3125","201008.22314453","0.3506525614408","180491.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","169855.54410839","40882.708333333","40889.708333333"
"4.5458333333333","257849.36824226","0.35524721087699","183591.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","172081.18500137","40889.708333333","40896.708333333"
"5.2458333333333","261392.22539568","0.35984186031319","186691.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","174306.82589436","40896.708333333","40917.708333333"
"5.4791666666667","264935.08254909","0.36443650974938","189791.72314453","10.879166666667","484398.41252112","484398.41252112","494947.71251595","176532.46678734","40917.708333333","40924.708333333"
"5.7125","296140.23219991","0.46273591221902","237776.50244141","10.879166666667","484398.41252112","484398.41252112","494947.71251595","224148.54129541","40924.708333333","40931.708333333"
"5.9458333333333","299860.23219991","0.47419011701973","243356.50244141","10.879166666667","484398.41252112","484398.41252112","494947.71251595","229696.93991756","40931.708333333","40938.708333333"
"6.1791666666667","329774.971946","0.54509004999713","277824.77541864","10.879166666667","484398.41252112","484398.41252112","494947.71251595","264040.75489967","40938.708333333","40945.708333333"
"6.4125","333494.971946","0.55208315038373","281367.63257205","10.879166666667","484398.41252112","484398.41252112","494947.71251595","267428.20162554","40945.708333333","40952.708333333"
"6.6458333333333","346583.88210225","0.55510758420711","282740.48972547","10.879166666667","484398.41252112","484398.41252112","494947.71251595","268893.23256836","40952.708333333","40959.708333333"
"6.8791666666667","367532.65261006","0.63537304804431","319347.81066972","10.879166666667","484398.41252112","484398.41252112","494947.71251595","307773.69583137","40959.708333333","40966.708333333"
"7.1125","394226.16237569","0.71113323225302","356193.81066972","10.879166666667","484398.41252112","484398.41252112","494947.71251595","344471.80879438","40966.708333333","40973.708333333"
"7.3458333333333","397946.16237569","0.76490921720275","381963.08117753","10.879166666667","484398.41252112","484398.41252112","494947.71251595","370520.81053579","40973.708333333","40980.708333333"
"7.5791666666667","401666.16237569","0.82309466853579","409865.59094316","10.879166666667","484398.41252112","484398.41252112","494947.71251595","398705.75079334","40980.708333333","40987.708333333"
"7.8125","416810.221946","0.83111565134364","413399.59094316","10.879166666667","484398.41252112","484398.41252112","494947.71251595","402591.10213232","40987.708333333","40994.708333333"
"8.0458333333333","429042.21218038","0.83444657455497","415259.59094316","10.879166666667","484398.41252112","484398.41252112","494947.71251595","404204.59604812","40994.708333333","41001.708333333"
"8.5458333333333","440557.54389453","0.83777749817826","417119.59094316","10.879166666667","484398.41252112","484398.41252112","494947.71251595","405818.09016347","41001.708333333","41016.708333333"
"8.7791666666667","443391.82966161","0.86350511665816","429741.65051347","10.879166666667","484398.41252112","484398.41252112","494947.71251595","418280.50771308","41016.708333333","41023.708333333"
"9.0791666666667","460703.61673367","0.88659942712552","440795.64074784","10.879166666667","484398.41252112","484398.41252112","494947.71251595","429467.35504174","41023.708333333","41032.708333333"
"9.3125","464264.18820131","0.91885761008398","456062.229635","10.879166666667","484398.41252112","484398.41252112","494947.71251595","445093.16765763","41032.708333333","41039.708333333"
"9.6791666666667","470182.77256751","0.94436492990851","469027.14528489","10.879166666667","484398.41252112","484398.41252112","494947.71251595","457448.8728883","41039.708333333","41050.708333333"
"9.9458333333333","474693.45262122","0.96368517241882","478774.09250212","10.879166666667","484398.41252112","484398.41252112","494947.71251595","466807.56768982","41050.708333333","41058.708333333"
"10.179166666667","483220.41252112","0.97522230936079","484186.14968556","10.879166666667","484398.41252112","484398.41252112","494947.71251595","472396.13850955","41058.708333333","41065.708333333"
"10.4125","484398.41252112","0.9776560603282","485435.00684637","10.879166666667","484398.41252112","484398.41252112","494947.71251595","473575.04361464","41065.708333333","41072.708333333"
"10.645833333333","484398.41252112","0.99724013339961","494234.71251595","10.879166666667","484398.41252112","484398.41252112","494947.71251595","483061.53752112","41072.708333333","41079.708333333"
"10.879166666667","484398.41252112","1","494947.71251595","10.879166666667","484398.41252112","484398.41252112","494947.71251595","484398.41252112","41079.708333333","41086.708333333"
