AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.1333,2490,0.0103,2490,9.4667,241015.0007,241015.0007,314856.144
0.3667,3700,0.0154,3700,9.4667,241015.0007,241015.0007,314856.144
0.6,12566.6668,0.0309,8020,9.4667,241015.0007,241015.0007,314856.144
0.8333,20780.0002,0.0664,22796.6668,9.4667,241015.0007,241015.0007,314856.144
1.0667,39580.0002,0.0801,28663.3336,9.4667,241015.0007,241015.0007,314856.144
1.3,59380.0002,0.1355,44343.3336,9.4667,241015.0007,241015.0007,314856.144
1.5333,70434.0002,0.1799,57143.3336,9.4667,241015.0007,241015.0007,314856.144
1.7667,75430.0002,0.257,81347.3336,9.4667,241015.0007,241015.0007,314856.144
2,78630.0003,0.2886,94147.3336,9.4667,241015.0007,241015.0007,314856.144
2.2333,102770.0003,0.3085,101907.3337,9.4667,241015.0007,241015.0007,314856.144
2.4667,112570.0003,0.3176,105107.3338,9.4667,241015.0007,241015.0007,314856.144
2.7,126860.0004,0.3267,108307.3339,9.4667,241015.0007,241015.0007,314856.144
2.9333,138652.5719,0.4121,132447.3339,9.4667,241015.0007,241015.0007,314856.144
3.1667,145880.0006,0.4368,142247.3339,9.4667,241015.0007,241015.0007,314856.144
3.4,150088.0006,0.4616,152047.3339,9.4667,241015.0007,241015.0007,314856.144
3.6333,152680.0006,0.4863,161847.3339,9.4667,241015.0007,241015.0007,314856.144
3.8667,152680.0006,0.5441,179961.9054,9.4667,241015.0007,241015.0007,314856.144
4.1,152680.0006,0.5762,192499.0484,9.4667,241015.0007,241015.0007,314856.144
4.3333,154540.0007,0.602,200847.0485,9.4667,241015.0007,241015.0007,314856.144
4.5667,156940.0007,0.6226,207175.0486,9.4667,241015.0007,241015.0007,314856.144
4.8,159340.0007,0.6327,211175.0486,9.4667,241015.0007,241015.0007,314856.144
5.0333,162997.0007,0.6335,211475.0487,9.4667,241015.0007,241015.0007,314856.144
5.2667,165037.0007,0.6335,211475.0487,9.4667,241015.0007,241015.0007,314856.144
5.5,167917.0007,0.6335,211475.0487,9.4667,241015.0007,241015.0007,314856.144
5.7333,172717.0007,0.6335,211475.0487,9.4667,241015.0007,241015.0007,314856.144
5.9667,191277.0007,0.6425,214061.7153,9.4667,241015.0007,241015.0007,314856.144
6.2,221408.4293,0.6509,216461.7153,9.4667,241015.0007,241015.0007,314856.144
6.4333,240915.0007,0.6593,218861.7153,9.4667,241015.0007,241015.0007,314856.144
6.6667,241015.0007,0.6717,222518.7153,9.4667,241015.0007,241015.0007,314856.144
6.9,241015.0007,0.6768,224918.7153,9.4667,241015.0007,241015.0007,314856.144
7.1333,241015.0007,0.6819,227318.7153,9.4667,241015.0007,241015.0007,314856.144
7.3667,241015.0007,0.6862,229278.7153,9.4667,241015.0007,241015.0007,314856.144
7.6,241015.0007,0.6917,231838.7154,9.4667,241015.0007,241015.0007,314856.144
7.8333,241015.0007,0.7022,236246.7154,9.4667,241015.0007,241015.0007,314856.144
8.0667,241015.0007,0.7136,241046.7154,9.4667,241015.0007,241015.0007,314856.144
8.3,241015.0007,0.7251,245846.7154,9.4667,241015.0007,241015.0007,314856.144
8.5333,241015.0007,0.799,265726.7154,9.4667,241015.0007,241015.0007,314856.144
8.7667,241015.0007,0.9178,294735.2868,9.4667,241015.0007,241015.0007,314856.144
9,241015.0007,0.9311,298256.144,9.4667,241015.0007,241015.0007,314856.144
9.2333,241015.0007,0.9996,314756.144,9.4667,241015.0007,241015.0007,314856.144
9.4667,241015.0007,1,314856.144,9.4667,241015.0007,241015.0007,314856.144
