AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.2,56573.6211,0.0026,56573.6211,27.9667,21369835.51,21369835.51,26077764.74
0.4333,56811.6211,0.0027,56811.6211,27.9667,21369835.51,21369835.51,26077764.74
0.6667,57049.6211,0.0027,57049.6211,27.9667,21369835.51,21369835.51,26077764.74
0.9,57287.6211,0.0027,57287.6211,27.9667,21369835.51,21369835.51,26077764.74
1.1333,57525.6211,0.0027,57525.6211,27.9667,21369835.51,21369835.51,26077764.74
1.3667,57763.621,0.0027,57763.621,27.9667,21369835.51,21369835.51,26077764.74
1.6,58001.621,0.0027,58001.621,27.9667,21369835.51,21369835.51,26077764.74
1.8333,58239.621,0.0027,58239.621,27.9667,21369835.51,21369835.51,26077764.74
2.0667,58477.621,0.0027,58477.621,27.9667,21369835.51,21369835.51,26077764.74
2.3,58715.621,0.0027,58715.621,27.9667,21369835.51,21369835.51,26077764.74
2.5333,58953.621,0.0028,58953.621,27.9667,21369835.51,21369835.51,26077764.74
2.7667,59191.621,0.0028,59191.621,27.9667,21369835.51,21369835.51,26077764.74
3,59429.621,0.0028,59429.621,27.9667,21369835.51,21369835.51,26077764.74
3.2333,59667.621,0.0028,59667.621,27.9667,21369835.51,21369835.51,26077764.74
3.4667,59905.621,0.0028,59905.621,27.9667,21369835.51,21369835.51,26077764.74
3.7,65708.9208,0.0031,65708.9208,27.9667,21369835.51,21369835.51,26077764.74
3.9333,104129.5712,0.0049,106926.451,27.9667,21369835.51,21369835.51,26077764.74
4.1667,129693.2311,0.0061,136685.421,27.9667,21369835.51,21369835.51,26077764.74
4.4,132216.831,0.0062,139209.021,27.9667,21369835.51,21369835.51,26077764.74
4.6333,144823.3709,0.0068,151815.5609,27.9667,21369835.51,21369835.51,26077764.74
4.8667,156915.7509,0.0073,163907.9408,27.9667,21369835.51,21369835.51,26077764.74
5.1,219778.4427,0.0103,226770.6327,27.9667,21369835.51,21369835.51,26077764.74
5.3333,322202.9865,0.0105,230619.8327,27.9667,21369835.51,21369835.51,26077764.74
5.5667,325123.5466,0.0106,233540.3927,27.9667,21369835.51,21369835.51,26077764.74
5.8,325401.1466,0.0106,233817.9927,27.9667,21369835.51,21369835.51,26077764.74
6.0333,325678.7466,0.0106,234095.5927,27.9667,21369835.51,21369835.51,26077764.74
6.2667,325956.3466,0.0107,234373.1927,27.9667,21369835.51,21369835.51,26077764.74
6.5,326233.9466,0.0107,234650.7928,27.9667,21369835.51,21369835.51,26077764.74
6.7333,326511.5466,0.0107,234928.3928,27.9667,21369835.51,21369835.51,26077764.74
6.9667,326789.1466,0.0107,235205.9928,27.9667,21369835.51,21369835.51,26077764.74
7.2,327066.7466,0.0107,235483.5928,27.9667,21369835.51,21369835.51,26077764.74
7.4333,327344.3466,0.0107,235761.1928,27.9667,21369835.51,21369835.51,26077764.74
7.6667,327621.9466,0.0108,236038.7928,27.9667,21369835.51,21369835.51,26077764.74
7.9,327899.5466,0.0108,236316.3928,27.9667,21369835.51,21369835.51,26077764.74
8.1333,328177.1466,0.0108,236593.9928,27.9667,21369835.51,21369835.51,26077764.74
8.3667,328454.7466,0.0123,269024.4921,27.9667,21369835.51,21369835.51,26077764.74
8.6,328732.3466,0.0123,269107.6921,27.9667,21369835.51,21369835.51,26077764.74
8.8333,329009.9466,0.0123,269190.8921,27.9667,21369835.51,21369835.51,26077764.74
9.0667,329287.5466,0.0123,269274.0921,27.9667,21369835.51,21369835.51,26077764.74
9.3,361562.5259,0.0123,269357.2921,27.9667,21369835.51,21369835.51,26077764.74
9.5333,361645.7259,0.0123,269440.4921,27.9667,21369835.51,21369835.51,26077764.74
9.7667,361728.9259,0.0123,269523.692,27.9667,21369835.51,21369835.51,26077764.74
10,361812.1259,0.0123,269606.892,27.9667,21369835.51,21369835.51,26077764.74
10.2333,361895.3259,0.0123,269690.092,27.9667,21369835.51,21369835.51,26077764.74
10.4667,361978.5259,0.0123,269773.292,27.9667,21369835.51,21369835.51,26077764.74
10.7,362061.7259,0.0123,269856.492,27.9667,21369835.51,21369835.51,26077764.74
10.9333,362144.9259,0.0123,269939.692,27.9667,21369835.51,21369835.51,26077764.74
11.1667,362228.1259,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
11.4,362311.3259,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
11.6333,362394.5258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
11.8667,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
12.1,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
12.3333,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
12.5667,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
12.8,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
13.0333,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
13.2667,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
13.5,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
13.7333,362477.7258,0.0123,270006.252,27.9667,21369835.51,21369835.51,26077764.74
