AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.2,39004.66992,0.0804,39004.6699,10.8667,484398.4125,484398.4125,494947.7125
0.4667,42724.66992,0.088,42724.6699,10.8667,484398.4125,484398.4125,494947.7125
0.7,46444.66992,0.0957,46444.6699,10.8667,484398.4125,484398.4125,494947.7125
0.9333,50164.66992,0.1006,49234.6699,10.8667,484398.4125,484398.4125,494947.7125
1.1667,58071.77002,0.1047,51714.6699,10.8667,484398.4125,484398.4125,494947.7125
1.4,148902.7231,0.119,59094.77,10.8667,484398.4125,484398.4125,494947.7125
1.6333,152002.7231,0.3047,149491.7231,10.8667,484398.4125,484398.4125,494947.7125
1.8667,155102.7231,0.3093,152591.7231,10.8667,484398.4125,484398.4125,494947.7125
2.1,158202.7231,0.3139,155691.7231,10.8667,484398.4125,484398.4125,494947.7125
2.3333,161302.7231,0.3185,158791.7231,10.8667,484398.4125,484398.4125,494947.7125
2.5667,164402.7231,0.3231,161891.7231,10.8667,484398.4125,484398.4125,494947.7125
2.8,167502.7231,0.3277,164991.7231,10.8667,484398.4125,484398.4125,494947.7125
3.3667,170602.7231,0.3323,168091.7231,10.8667,484398.4125,484398.4125,494947.7125
3.6,173702.7231,0.3369,171191.7231,10.8667,484398.4125,484398.4125,494947.7125
3.8333,176802.7231,0.3415,174291.7231,10.8667,484398.4125,484398.4125,494947.7125
4.0667,197908.2231,0.3461,177391.7231,10.8667,484398.4125,484398.4125,494947.7125
4.3,201008.2231,0.3507,180491.7231,10.8667,484398.4125,484398.4125,494947.7125
4.5333,257849.3682,0.3552,183591.7231,10.8667,484398.4125,484398.4125,494947.7125
5.2333,261392.2254,0.3598,186691.7231,10.8667,484398.4125,484398.4125,494947.7125
5.4667,264935.0825,0.3644,189791.7231,10.8667,484398.4125,484398.4125,494947.7125
5.7,296140.2322,0.4627,237776.5024,10.8667,484398.4125,484398.4125,494947.7125
5.9333,299860.2322,0.4742,243356.5024,10.8667,484398.4125,484398.4125,494947.7125
6.1667,329774.9719,0.5451,277824.7754,10.8667,484398.4125,484398.4125,494947.7125
6.4,333494.9719,0.5521,281367.6326,10.8667,484398.4125,484398.4125,494947.7125
6.6333,346583.8821,0.5551,282740.4897,10.8667,484398.4125,484398.4125,494947.7125
6.8667,367532.6526,0.6354,319347.8107,10.8667,484398.4125,484398.4125,494947.7125
7.1,394226.1624,0.7111,356193.8107,10.8667,484398.4125,484398.4125,494947.7125
7.3333,397946.1624,0.7649,381963.0812,10.8667,484398.4125,484398.4125,494947.7125
7.5667,401666.1624,0.8231,409865.5909,10.8667,484398.4125,484398.4125,494947.7125
7.8,416810.2219,0.8311,413399.5909,10.8667,484398.4125,484398.4125,494947.7125
8.0333,429042.2122,0.8344,415259.5909,10.8667,484398.4125,484398.4125,494947.7125
8.5333,440557.5439,0.8378,417119.5909,10.8667,484398.4125,484398.4125,494947.7125
8.7667,443391.8297,0.8635,429741.6505,10.8667,484398.4125,484398.4125,494947.7125
9.0667,460703.6167,0.8866,440795.6407,10.8667,484398.4125,484398.4125,494947.7125
9.3,464264.1882,0.9189,456062.2296,10.8667,484398.4125,484398.4125,494947.7125
9.6667,470182.7726,0.9444,469027.1453,10.8667,484398.4125,484398.4125,494947.7125
9.9333,474693.4526,0.9637,478774.0925,10.8667,484398.4125,484398.4125,494947.7125
10.1667,483220.4125,0.9752,484186.1497,10.8667,484398.4125,484398.4125,494947.7125
10.4,484398.4125,0.9777,485435.0068,10.8667,484398.4125,484398.4125,494947.7125
10.6333,484398.4125,0.9972,494234.7125,10.8667,484398.4125,484398.4125,494947.7125
10.8667,484398.4125,1,494947.7125,10.8667,484398.4125,484398.4125,494947.7125
