AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC,EV,Day1,Day2
0.8125,138800.300048828,0.137501583167641,216156.349655151,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,211394.729736328,39423.3333333333,39447.7083333333
2.77916666666667,368676.401611328,0.239805358257211,381091.861557007,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,368676.401611328,39447.7083333333,39506.7083333333
3.84583333333333,427296.702392578,0.277934899959783,447206.412277222,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,427296.702392578,39506.7083333333,39538.7083333333
4.6125,579666.559814453,0.377043788098422,600882.079696655,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,579666.559814453,39538.7083333333,39561.7083333333
9.94583333333333,1037325.11972046,0.660030571372508,1100324.47966003,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1014730.02011108,39561.7083333333,39721.7083333333
10.6458333333333,1223163.47817993,0.689424511060548,1145666.85887146,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1059920.21932983,39721.7083333333,39742.7083333333
10.9791666666667,1223853.36819458,0.689424511060548,1147890.82859802,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1059920.21932983,39742.7083333333,39752.7083333333
16.0125,1537398.51473999,0.942046088272975,1595319.63782883,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1448300.25692749,39752.7083333333,39903.7083333333
17.0125,1537398.51473999,0.961432688039882,1629744.9489975,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1478105.18661499,39903.7083333333,39933.7083333333
18.1791666666667,1537398.51473999,1,1696971.78688812,18.1791666666667,1537398.51473999,1537398.51473999,1696971.78688812,1537398.51473999,39933.7083333333,39968.7083333333
