AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC,EV,Day1,Day2
2.58611111111337,5700,0.031265596708087,1035,8.41944444444671,43275,42075,37530,1315.49998149276,41519.3333333333,41596.9166666667
4.45277777778004,39225,0.346345806212135,13275,8.41944444444671,43275,42075,37530,14572.4997963756,41596.9166666667,41652.9166666667
6.55277777778004,39225,0.879144382561804,34470,8.41944444444671,43275,42075,37530,36989.9998962879,41652.9166666667,41715.9166666667
8.41944444444671,43275,1,37530,8.41944444444671,43275,42075,37530,42075,41715.9166666667,41771.9166666667
