AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
4.919444444,344534.1284,0.564636697,300587.0561,7.286111111,458112.3684,458112.3684,512546.1461
6.319444444,435700.3284,0.776869469,411441.6761,7.286111111,458112.3684,458112.3684,512546.1461
6.519444444,441361.4484,0.8227285,426824.6661,7.286111111,458112.3684,458112.3684,512546.1461
6.986111111,458112.3684,0.92430096,475424.1361,7.286111111,458112.3684,458112.3684,512546.1461
7.286111111,458112.3684,1,512546.1461,7.286111111,458112.3684,458112.3684,512546.1461
