"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"0.867","36335.714285714","0.039836","124492.5","23.867","4318950","4318950","4232553.41"
"1.8","322050","0.074567","226935","23.867","4318950","4318950","4232553.41"
"3.3","332450","0.082381","260220","23.867","4318950","4318950","4232553.41"
"3.83","337450","0.085935","276555","23.867","4318950","4318950","4232553.41"
"4.9","373650","0.086514","279055","23.867","4318950","4318950","4232553.41"
"5.8","378450","0.108857","386654.385","23.867","4318950","4318950","4232553.41"
"6.3","378450","0.108857","386654.385","23.867","4318950","4318950","4232553.41"
"8.033","635977.27272727","0.132405","497453.77","23.867","4318950","4318950","4232553.41"
"9","1037668.1818182","0.133238","499053.77","23.867","4318950","4318950","4232553.41"
"10.033","1114868.1818182","0.218907","499053.77","23.867","4318950","4318950","4232553.41"
"10.967","1350288.7096774","0.3871","905012.64","23.867","4318950","4318950","4232553.41"
"11.867","1991844.6236559","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"12.867","2254465.1515151","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"13.767","2676958.7719298","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"14.867","3250020.1754386","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"15.83","3797033.3333333","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"16.867","4317859.0909091","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"17.83","4318950","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"18.867","4318950","0.3871","1632595.0766667","23.867","4318950","4318950","4232553.41"
"19.867","4318950","0.388489","1638935.0766667","23.867","4318950","4318950","4232553.41"
"20.83","4318950","0.510606","2157658.7433333","23.867","4318950","4318950","4232553.41"
"21.867","4318950","0.763175","3230856.0766667","23.867","4318950","4318950","4232553.41"
"22.83","4318950","0.764565","3236349.5766667","23.867","4318950","4318950","4232553.41"
"23.867","4318950","1","4232553.41","23.867","4318950","4318950","4232553.41"
