AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC
0.579166667,100.9090909,4.02183E-05,110,14.71111111,2101911.269,2509031.422,2509031.421
1.611111111,107.7272727,4.29358E-05,110,14.71111111,2101911.269,2509031.422,2509031.421
2.644444444,21317.57394,0.025834785,44302.34375,14.71111111,2101911.269,2509031.422,2509031.421
3.577777778,108353.05,0.053824337,135046.9531,14.71111111,2101911.269,2509031.422,2509031.421
4.611111111,231297.2227,0.127030696,331829.9043,14.71111111,2101911.269,2509031.422,2509031.421
5.611111111,351452.5526,0.167512484,420294.0859,14.71111111,2101911.269,2509031.422,2509031.421
6.644444444,420293.6734,0.206987574,519338.3281,14.71111111,2101911.269,2509031.422,2509031.421
7.644444444,469867.107,0.233146941,630470.1484,14.71111111,2101911.269,2509031.422,2509031.421
8.668055556,506970.9979,0.361836248,1042363.008,14.71111111,2101911.269,2509031.422,2509031.421
9.711111111,527151.7448,0.58015561,1604691.27,14.71111111,2101911.269,2509031.422,2509031.421
10.71111111,782064.7225,0.72859826,1869633.522,14.71111111,2101911.269,2509031.422,2509031.421
11.74444444,1060652.42,0.783667284,1966210.691,14.71111111,2101911.269,2509031.422,2509031.421
12.74444444,1663873.852,0.906227501,2297905.679,14.71111111,2101911.269,2509031.422,2509031.421
14.71111111,2101911.269,1,2509031.421,14.71111111,2101911.269,2509031.422,2509031.421
