"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"0.367","1000","0.004651","1750","8.67","107500","107500","116800"
"0.833","11823.529411765","0.013023","4000","8.67","107500","107500","116800"
"2.133","42129.411764706","0.269767","32500","8.67","107500","107500","116800"
"3.233","71423.529411765","0.526977","61175","8.67","107500","107500","116800"
"4.5","100166.66666667","0.826977","94600","8.67","107500","107500","116800"
"5.133","103500","0.869767","99350","8.67","107500","107500","116800"
"6.333","104293.26923077","0.897209","102690","8.67","107500","107500","116800"
"7.3","107500","0.932093","106830","8.67","107500","107500","116800"
"8.133","107500","0.970233","111560","8.67","107500","107500","116800"
"8.67","107500","1","116800","8.67","107500","107500","116800"
