"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC"
"0.63","8092.7835051546","0.004294","7116.9172932331","23","1512000","1512000","1534060"
"2.3","28054.982817869","0.010384","17210","23","1512000","1512000","1534060"
"5.6","146813.1935655","0.078067","119086.96598639","23","1512000","1512000","1534060"
"9.1","294932.96819335","0.154403","236467.06925765","23","1512000","1512000","1534060"
"10.67","440829.70824008","0.341673","516473","23","1512000","1512000","1534060"
"12.43","686858.43560636","0.521792","790691.5","23","1512000","1512000","1534060"
"15.633","1138969.752809","0.744993","1129790","23","1512000","1512000","1534060"
"17.9","1292969.5384773","0.831515","1262570","23","1512000","1512000","1534060"
"18.7","1318564.2034664","0.885251","1352970","23","1512000","1512000","1534060"
"22","1512000","0.908499","1394570","23","1512000","1512000","1534060"
"23","1512000","1","1534060","23","1512000","1512000","1534060"
