AT,PV,XT,AC,TOTAL_AT,TOTAL_PV,TOTAL_EV,TOTAL_AC,EV,Day1,Day2
2.7125,182149.759048835,0.110612713772353,162267.679220274,26.5125,1457423.99897803,1457423.99897803,2145682.259131,161209.623643915,41218.3333333333,41299.7083333333
5.5125,255665.837601081,0.133145746481497,244396.948708683,26.5125,1457423.99897803,1457423.99897803,2145682.259131,194049.806283979,41299.7083333333,41383.7083333333
8.3125,350995.674888984,0.155539961043448,289573.827893078,26.5125,1457423.99897803,1457423.99897803,2145682.259131,226687.672024829,41383.7083333333,41467.7083333333
11.1125,633951.993179694,0.171069737808951,327944.226983458,26.5125,1457423.99897803,1457423.99897803,2145682.259131,249321.141381645,41467.7083333333,41551.7083333333
13.9125,1278284.55703773,0.233464017508379,419276.223976746,26.5125,1457423.99897803,1457423.99897803,2145682.259131,340256.062014538,41551.7083333333,41635.7083333333
16.7125,1457423.99897803,0.304505968015702,565580.943997011,26.5125,1457423.99897803,1457423.99897803,2145682.259131,443794.30561812,41635.7083333333,41719.7083333333
19.5125,1457423.99897803,0.638173088378899,1198825.58359538,26.5125,1457423.99897803,1457423.99897803,2145682.259131,930088.774505335,41719.7083333333,41803.7083333333
22.40138888889,1457423.99897803,0.723363689147425,1449708.1894757,26.5125,1457423.99897803,1457423.99897803,2145682.259131,1054247.60055274,41803.7083333333,41890.375
26.5125,1457423.99897803,1,2145682.259131,26.5125,1457423.99897803,1457423.99897803,2145682.259131,1457423.99897803,41890.375,42013.7083333333
