"AT","PV","XT","AC","TOTAL_AT","TOTAL_PV","TOTAL_EV","TOTAL_AC","EV","Day1","Day2"
"0.2125","13526.639648438","0.074945947911589","13526.639648438","2.4125","180485.27005615","180485.27005615","180485.27005615","13526.639648438","40681.333333333","40687.708333333"
"1.1125","115357.88973389","0.63915404273364","115357.88973389","2.4125","180485.27005615","180485.27005615","180485.27005615","115357.89001026","40687.708333333","40714.708333333"
"1.3458333333333","143433.17000732","0.71698864828465","129405.88973389","2.4125","180485.27005615","180485.27005615","180485.27005615","129405.88981285","40714.708333333","40721.708333333"
"1.8458333333333","176069.27005615","0.92317766411089","166619.97000732","2.4125","180485.27005615","180485.27005615","180485.27005615","166619.97001686","40721.708333333","40736.708333333"
"2.4125","180485.27005615","1","180485.27005615","2.4125","180485.27005615","180485.27005615","180485.27005615","180485.27005615","40736.708333333","40753.708333333"
